MASA ESTATURA GENERO ESTRATO FUMA
71 183 HOMBRE 2 NO
45 168 HOMBRE 1 NO
50 164 HOMBRE 1 NO
60 164 MUJER 3 NO
61 167 HOMBRE 3 NO
84 182 HOMBRE 3 NO
55 168 MUJER 3 NO
60 170 HOMBRE 3 NO
78 178 HOMBRE 3 NO
70 178 HOMBRE 3 NO
45 154 MUJER 2 NO
55 157 MUJER 2 NO
55 170 HOMBRE 2 NO
60 157 HOMBRE 1 NO
64 173 HOMBRE 3 NO
65 155 MUJER 2 NO
70 185 HOMBRE 4 SI
71 175 HOMBRE 4 NO
76 174 HOMBRE 2 NO
82.5 182 HOMBRE 5 NO
76 182 HOMBRE 2 NO
77 178 HOMBRE 3 NO
61.1 185 HOMBRE 2 NO
58 169 HOMBRE 2 NO
54.6 173 MUJER 2 NO
46 155 MUJER 1 NO
71 178 HOMBRE 3 NO
70 165 MUJER 3 NO
75 185 HOMBRE 2 NO
46 163 MUJER 2 NO
49 157 MUJER 2 NO
52 167 HOMBRE 2 NO
55 162 MUJER 3 NO
57 160 MUJER 2 NO
60 171 HOMBRE 3 NO
60 171 HOMBRE 3 NO
60 164 MUJER 3 NO
61 171 HOMBRE 1 NO
63 174 HOMBRE 3 NO
64 176 HOMBRE 2 NO
64 168 HOMBRE 3 NO
65 169 MUJER 2 NO
68 180 HOMBRE 2 NO
73 166 MUJER 2 NO
86 179 HOMBRE 3 NO
88 181 MUJER 2 NO
81 179 HOMBRE 1 NO
60 150 MUJER 1 NO
60 160 MUJER 2 NO
65 161 HOMBRE 2 NO
61 175 HOMBRE 3 NO
50 161 MUJER 3 NO
45 146 MUJER 1 NO
50 168 MUJER 3 NO
57 176 HOMBRE 3 NO
61 161 HOMBRE 1 NO
84.8 175 HOMBRE 3 NO
56 170 HOMBRE 2 NO
48 156 MUJER 3 NO
65 175 HOMBRE 2 NO
51 155 MUJER 3 NO
63.5 169 HOMBRE 3 SI
46 162 HOMBRE 3 NO
68 179 HOMBRE 5 NO
70 185 HOMBRE 3 NO
